tanggal,produk,harga,hari,promo,cuaca,stok_awal,jumlah_terjual
2027-02-09,Dada Ayam,11000,Tuesday,0,Mendung,47,35
2027-02-10,Dada Ayam,11000,Wednesday,1,Cerah,52,52
2027-02-11,Ayam Geprek,15000,Thursday,1,Hujan,47,41
2027-02-12,Dada Ayam,11000,Friday,0,Cerah,104,53
2027-02-13,Dada Ayam,11000,Saturday,0,Cerah,82,61
2027-02-14,Ayam Geprek,15000,Sunday,0,Cerah,78,56
2027-02-15,Paha Ayam,10000,Monday,0,Cerah,120,60
2027-02-16,Dada Ayam,11000,Tuesday,0,Hujan,98,43
2027-02-17,Ayam Geprek,15000,Wednesday,0,Hujan,83,26
2027-02-18,Ayam Crispy,12000,Thursday,0,Cerah,48,34
2027-02-19,Paha Ayam,10000,Friday,0,Cerah,76,48
2027-02-20,Ayam Crispy,12000,Saturday,0,Mendung,113,68
2027-02-21,Ayam Crispy,12000,Sunday,0,Hujan,75,43
2027-02-22,Ayam Geprek,15000,Monday,1,Mendung,67,51
2027-02-23,Dada Ayam,11000,Tuesday,1,Cerah,81,51
2027-02-24,Ayam Geprek,15000,Wednesday,0,Cerah,82,44
2027-02-25,Ayam Geprek,15000,Thursday,1,Mendung,81,58
2027-02-26,Ayam Geprek,15000,Friday,0,Cerah,105,53
2027-02-27,Ayam Geprek,15000,Saturday,1,Mendung,94,80
2027-02-28,Paha Ayam,10000,Sunday,1,Cerah,111,80
2027-03-01,Dada Ayam,11000,Monday,0,Mendung,87,47
2027-03-02,Ayam Crispy,12000,Tuesday,0,Cerah,61,39
2027-03-03,Ayam Crispy,12000,Wednesday,0,Mendung,66,36
2027-03-04,Dada Ayam,11000,Thursday,0,Cerah,106,54
2027-03-05,Ayam Crispy,12000,Friday,0,Mendung,52,34
2027-03-06,Dada Ayam,11000,Saturday,0,Cerah,84,56
2027-03-07,Ayam Crispy,12000,Sunday,0,Mendung,49,49
2027-03-08,Ayam Geprek,15000,Monday,1,Mendung,48,45
2027-03-09,Ayam Crispy,12000,Tuesday,1,Mendung,93,66
2027-03-10,Dada Ayam,11000,Wednesday,0,Mendung,66,37
2027-03-11,Dada Ayam,11000,Thursday,0,Mendung,73,34
2027-03-12,Dada Ayam,11000,Friday,0,Hujan,40,20
2027-03-13,Dada Ayam,11000,Saturday,0,Cerah,71,56
2027-03-14,Dada Ayam,11000,Sunday,1,Hujan,110,68
2027-03-15,Paha Ayam,10000,Monday,0,Cerah,106,56
2027-03-16,Paha Ayam,10000,Tuesday,0,Cerah,59,39
2027-03-17,Ayam Crispy,12000,Wednesday,0,Cerah,74,37
2027-03-18,Dada Ayam,11000,Thursday,0,Cerah,117,53
2027-03-19,Ayam Crispy,12000,Friday,0,Mendung,56,34
2027-03-20,Dada Ayam,11000,Saturday,1,Mendung,57,57
2027-03-21,Dada Ayam,11000,Sunday,0,Mendung,84,63
2027-03-22,Paha Ayam,10000,Monday,0,Mendung,92,48
2027-03-23,Paha Ayam,10000,Tuesday,0,Cerah,107,47
2027-03-24,Ayam Geprek,15000,Wednesday,1,Cerah,104,62
2027-03-25,Paha Ayam,10000,Thursday,1,Cerah,40,40
2027-03-26,Ayam Geprek,15000,Friday,0,Cerah,97,57
2027-03-27,Ayam Geprek,15000,Saturday,0,Cerah,65,55
2027-03-28,Ayam Geprek,15000,Sunday,0,Cerah,59,50
2027-03-29,Ayam Geprek,15000,Monday,0,Mendung,49,30
2027-03-30,Ayam Geprek,15000,Tuesday,1,Mendung,98,67
2027-03-31,Ayam Crispy,12000,Wednesday,0,Hujan,114,45
2027-04-01,Paha Ayam,10000,Thursday,0,Hujan,80,25
2027-04-02,Ayam Geprek,15000,Friday,0,Mendung,44,36
2027-04-03,Dada Ayam,11000,Saturday,0,Cerah,104,73
2027-04-04,Paha Ayam,10000,Sunday,0,Mendung,56,53
2027-04-05,Paha Ayam,10000,Monday,1,Mendung,61,46
2027-04-06,Ayam Geprek,15000,Tuesday,0,Cerah,80,40
2027-04-07,Ayam Crispy,12000,Wednesday,0,Cerah,107,43
2027-04-08,Ayam Geprek,15000,Thursday,0,Hujan,108,51
2027-04-09,Ayam Crispy,12000,Friday,0,Cerah,50,31
2027-04-10,Dada Ayam,11000,Saturday,0,Mendung,95,75
2027-04-11,Paha Ayam,10000,Sunday,0,Mendung,90,71
2027-04-12,Dada Ayam,11000,Monday,1,Cerah,60,46
2027-04-13,Ayam Crispy,12000,Tuesday,0,Cerah,115,52
2027-04-14,Ayam Crispy,12000,Wednesday,0,Cerah,65,40
2027-04-15,Dada Ayam,11000,Thursday,0,Cerah,58,27
2027-04-16,Ayam Crispy,12000,Friday,0,Cerah,99,47
2027-04-17,Dada Ayam,11000,Saturday,1,Hujan,110,71
2027-04-18,Paha Ayam,10000,Sunday,1,Cerah,86,84
2027-04-19,Dada Ayam,11000,Monday,0,Mendung,110,54
2027-04-20,Paha Ayam,10000,Tuesday,0,Cerah,65,36
2027-04-21,Dada Ayam,11000,Wednesday,0,Hujan,79,29
2027-04-22,Ayam Crispy,12000,Thursday,0,Cerah,44,35
2027-04-23,Dada Ayam,11000,Friday,0,Cerah,60,34
2027-04-24,Ayam Crispy,12000,Saturday,0,Hujan,117,61
2027-04-25,Dada Ayam,11000,Sunday,0,Hujan,43,32
2027-04-26,Dada Ayam,11000,Monday,0,Cerah,62,29
2027-04-27,Ayam Geprek,15000,Tuesday,1,Hujan,54,34
2027-04-28,Ayam Crispy,12000,Wednesday,0,Cerah,47,29
2027-04-29,Ayam Geprek,15000,Thursday,0,Cerah,80,42
2027-04-30,Ayam Crispy,12000,Friday,1,Cerah,58,49
2027-05-01,Ayam Geprek,15000,Saturday,0,Cerah,85,59
2027-05-02,Paha Ayam,10000,Sunday,0,Mendung,67,51
2027-05-03,Dada Ayam,11000,Monday,0,Cerah,107,59
2027-05-04,Ayam Crispy,12000,Tuesday,0,Cerah,54,39
2027-05-05,Ayam Crispy,12000,Wednesday,1,Mendung,76,56
2027-05-06,Dada Ayam,11000,Thursday,1,Mendung,40,40
2027-05-07,Ayam Crispy,12000,Friday,0,Cerah,106,50
2027-05-08,Ayam Crispy,12000,Saturday,0,Mendung,63,38
2027-05-09,Ayam Geprek,15000,Sunday,0,Cerah,66,53
2027-05-10,Ayam Crispy,12000,Monday,0,Mendung,79,44
2027-05-11,Paha Ayam,10000,Tuesday,0,Mendung,102,43
2027-05-12,Paha Ayam,10000,Wednesday,1,Hujan,100,57
2027-05-13,Dada Ayam,11000,Thursday,0,Cerah,75,40
2027-05-14,Ayam Crispy,12000,Friday,1,Cerah,63,54
2027-05-15,Dada Ayam,11000,Saturday,0,Cerah,63,51
2027-05-16,Paha Ayam,10000,Sunday,0,Cerah,43,43
2027-05-17,Ayam Crispy,12000,Monday,0,Cerah,106,53
2027-05-18,Ayam Crispy,12000,Tuesday,1,Hujan,73,51
2027-05-19,Dada Ayam,11000,Wednesday,1,Cerah,96,69
2027-05-20,Paha Ayam,10000,Thursday,1,Cerah,88,55
2027-05-21,Ayam Crispy,12000,Friday,0,Mendung,92,44
2027-05-22,Dada Ayam,11000,Saturday,0,Cerah,62,54
2027-05-23,Paha Ayam,10000,Sunday,1,Mendung,108,81
2027-05-24,Dada Ayam,11000,Monday,0,Cerah,92,46
2027-05-25,Ayam Geprek,15000,Tuesday,0,Cerah,101,57
2027-05-26,Ayam Crispy,12000,Wednesday,0,Cerah,80,41
2027-05-27,Ayam Geprek,15000,Thursday,1,Cerah,96,59
2027-05-28,Paha Ayam,10000,Friday,1,Hujan,99,50
2027-05-29,Ayam Geprek,15000,Saturday,0,Cerah,93,73
2027-05-30,Ayam Geprek,15000,Sunday,1,Mendung,109,82
2027-05-31,Paha Ayam,10000,Monday,1,Cerah,96,57
2027-06-01,Dada Ayam,11000,Tuesday,0,Cerah,49,23
2027-06-02,Ayam Geprek,15000,Wednesday,0,Hujan,79,30
2027-06-03,Dada Ayam,11000,Thursday,1,Cerah,46,45
2027-06-04,Ayam Geprek,15000,Friday,0,Mendung,77,47
2027-06-05,Dada Ayam,11000,Saturday,0,Hujan,100,59
2027-06-06,Paha Ayam,10000,Sunday,0,Mendung,42,42
2027-06-07,Ayam Geprek,15000,Monday,1,Hujan,90,49
2027-06-08,Paha Ayam,10000,Tuesday,1,Cerah,86,62
2027-06-09,Ayam Geprek,15000,Wednesday,1,Cerah,107,59
2027-06-10,Paha Ayam,10000,Thursday,0,Cerah,115,65
2027-06-11,Paha Ayam,10000,Friday,1,Mendung,77,60
2027-06-12,Ayam Geprek,15000,Saturday,1,Hujan,75,66
2027-06-13,Ayam Geprek,15000,Sunday,0,Cerah,80,53
2027-06-14,Ayam Geprek,15000,Monday,1,Mendung,108,74
2027-06-15,Ayam Crispy,12000,Tuesday,0,Cerah,52,31
2027-06-16,Dada Ayam,11000,Wednesday,0,Mendung,97,44
2027-06-17,Ayam Crispy,12000,Thursday,0,Cerah,89,46
2027-06-18,Ayam Crispy,12000,Friday,0,Hujan,69,29
2027-06-19,Paha Ayam,10000,Saturday,0,Mendung,101,60
2027-06-20,Ayam Geprek,15000,Sunday,0,Cerah,64,48
2027-06-21,Dada Ayam,11000,Monday,0,Cerah,66,33
2027-06-22,Paha Ayam,10000,Tuesday,1,Cerah,90,57
2027-06-23,Ayam Crispy,12000,Wednesday,0,Cerah,117,54
2027-06-24,Ayam Geprek,15000,Thursday,0,Cerah,96,42
2027-06-25,Paha Ayam,10000,Friday,0,Hujan,86,32
2027-06-26,Ayam Geprek,15000,Saturday,1,Mendung,78,78
2027-06-27,Paha Ayam,10000,Sunday,0,Mendung,55,53
2027-06-28,Ayam Geprek,15000,Monday,0,Cerah,61,31
2027-06-29,Ayam Crispy,12000,Tuesday,1,Hujan,93,57
2027-06-30,Dada Ayam,11000,Wednesday,0,Mendung,60,26
2027-07-01,Ayam Crispy,12000,Thursday,0,Cerah,111,66
2027-07-02,Dada Ayam,11000,Friday,0,Mendung,55,41
2027-07-03,Ayam Geprek,15000,Saturday,1,Mendung,98,77
2027-07-04,Paha Ayam,10000,Sunday,0,Cerah,70,56
2027-07-05,Ayam Crispy,12000,Monday,1,Cerah,81,51
2027-07-06,Dada Ayam,11000,Tuesday,0,Cerah,113,55
2027-07-07,Ayam Crispy,12000,Wednesday,1,Cerah,71,54
2027-07-08,Dada Ayam,11000,Thursday,1,Hujan,98,50
2027-07-09,Ayam Crispy,12000,Friday,1,Hujan,73,43
2027-07-10,Dada Ayam,11000,Saturday,0,Mendung,48,44
2027-07-11,Dada Ayam,11000,Sunday,1,Cerah,120,81
2027-07-12,Ayam Geprek,15000,Monday,0,Cerah,50,28
2027-07-13,Dada Ayam,11000,Tuesday,0,Mendung,49,25
2027-07-14,Ayam Geprek,15000,Wednesday,0,Mendung,56,39
2027-07-15,Dada Ayam,11000,Thursday,1,Cerah,107,63
2027-07-16,Paha Ayam,10000,Friday,1,Mendung,87,54
2027-07-17,Paha Ayam,10000,Saturday,1,Hujan,91,71
2027-07-18,Paha Ayam,10000,Sunday,0,Cerah,64,54
2027-07-19,Dada Ayam,11000,Monday,0,Cerah,60,40
2027-07-20,Ayam Geprek,15000,Tuesday,1,Mendung,104,71
2027-07-21,Ayam Geprek,15000,Wednesday,0,Cerah,102,60
2027-07-22,Dada Ayam,11000,Thursday,0,Cerah,90,46
2027-07-23,Paha Ayam,10000,Friday,0,Cerah,75,34
2027-07-24,Paha Ayam,10000,Saturday,0,Cerah,120,73
2027-07-25,Ayam Geprek,15000,Sunday,0,Mendung,105,63
2027-07-26,Paha Ayam,10000,Monday,0,Mendung,54,29
2027-07-27,Ayam Crispy,12000,Tuesday,0,Cerah,78,43
2027-07-28,Ayam Geprek,15000,Wednesday,0,Hujan,109,47
2027-07-29,Paha Ayam,10000,Thursday,1,Hujan,40,30
2027-07-30,Ayam Geprek,15000,Friday,0,Hujan,62,33
2027-07-31,Ayam Crispy,12000,Saturday,0,Cerah,78,52
2027-08-01,Ayam Geprek,15000,Sunday,0,Cerah,96,62
2027-08-02,Ayam Geprek,15000,Monday,0,Hujan,120,49
2027-08-03,Ayam Geprek,15000,Tuesday,1,Mendung,73,54
2027-08-04,Ayam Geprek,15000,Wednesday,1,Cerah,80,49
2027-08-05,Ayam Crispy,12000,Thursday,0,Cerah,112,59
2027-08-06,Dada Ayam,11000,Friday,0,Cerah,52,30
2027-08-07,Ayam Geprek,15000,Saturday,1,Hujan,109,77
2027-08-08,Ayam Geprek,15000,Sunday,1,Mendung,45,45
2027-08-09,Paha Ayam,10000,Monday,0,Cerah,91,41
2027-08-10,Ayam Geprek,15000,Tuesday,0,Cerah,42,34
2027-08-11,Paha Ayam,10000,Wednesday,0,Mendung,120,59
2027-08-12,Dada Ayam,11000,Thursday,1,Hujan,102,54
2027-08-13,Ayam Crispy,12000,Friday,0,Cerah,88,48
2027-08-14,Ayam Crispy,12000,Saturday,1,Mendung,115,80
2027-08-15,Dada Ayam,11000,Sunday,0,Hujan,86,51
2027-08-16,Ayam Crispy,12000,Monday,0,Cerah,94,49
2027-08-17,Dada Ayam,11000,Tuesday,0,Mendung,103,49
2027-08-18,Dada Ayam,11000,Wednesday,0,Cerah,104,47
2027-08-19,Dada Ayam,11000,Thursday,0,Mendung,120,57
2027-08-20,Ayam Crispy,12000,Friday,0,Mendung,106,52
2027-08-21,Paha Ayam,10000,Saturday,0,Mendung,54,47
2027-08-22,Dada Ayam,11000,Sunday,1,Mendung,71,65
2027-08-23,Ayam Geprek,15000,Monday,0,Cerah,107,53
2027-08-24,Ayam Crispy,12000,Tuesday,0,Hujan,57,23
2027-08-25,Dada Ayam,11000,Wednesday,1,Mendung,82,54
2027-08-26,Dada Ayam,11000,Thursday,1,Cerah,74,56
2027-08-27,Ayam Geprek,15000,Friday,1,Mendung,117,79
2027-08-28,Paha Ayam,10000,Saturday,1,Mendung,97,77
2027-08-29,Paha Ayam,10000,Sunday,0,Cerah,72,63
2027-08-30,Paha Ayam,10000,Monday,0,Hujan,53,34
2027-08-31,Dada Ayam,11000,Tuesday,1,Hujan,73,41
2027-09-01,Dada Ayam,11000,Wednesday,0,Cerah,100,50
2027-09-02,Dada Ayam,11000,Thursday,0,Hujan,43,31
2027-09-03,Ayam Crispy,12000,Friday,1,Cerah,98,64
2027-09-04,Ayam Geprek,15000,Saturday,0,Cerah,68,54
2027-09-05,Dada Ayam,11000,Sunday,0,Cerah,45,37
2027-09-06,Ayam Geprek,15000,Monday,0,Hujan,88,33
2027-09-07,Ayam Geprek,15000,Tuesday,0,Mendung,79,45
2027-09-08,Paha Ayam,10000,Wednesday,0,Cerah,104,64
2027-09-09,Ayam Crispy,12000,Thursday,0,Cerah,108,52
2027-09-10,Dada Ayam,11000,Friday,1,Mendung,66,45
2027-09-11,Paha Ayam,10000,Saturday,0,Cerah,119,65
2027-09-12,Paha Ayam,10000,Sunday,0,Hujan,45,36
2027-09-13,Dada Ayam,11000,Monday,1,Hujan,52,44
2027-09-14,Ayam Geprek,15000,Tuesday,1,Mendung,103,69
2027-09-15,Paha Ayam,10000,Wednesday,1,Hujan,101,58
2027-09-16,Ayam Geprek,15000,Thursday,1,Cerah,58,57
2027-09-17,Ayam Crispy,12000,Friday,0,Hujan,115,42
2027-09-18,Ayam Geprek,15000,Saturday,0,Mendung,119,72
2027-09-19,Ayam Crispy,12000,Sunday,0,Mendung,82,56
2027-09-20,Ayam Geprek,15000,Monday,0,Cerah,113,53
2027-09-21,Paha Ayam,10000,Tuesday,0,Hujan,59,21
2027-09-22,Paha Ayam,10000,Wednesday,0,Cerah,107,51
2027-09-23,Ayam Crispy,12000,Thursday,1,Cerah,83,59
2027-09-24,Dada Ayam,11000,Friday,0,Cerah,62,35
2027-09-25,Ayam Crispy,12000,Saturday,0,Mendung,41,41
2027-09-26,Ayam Crispy,12000,Sunday,0,Mendung,61,53
2027-09-27,Ayam Geprek,15000,Monday,0,Mendung,96,55
2027-09-28,Ayam Geprek,15000,Tuesday,0,Hujan,111,50
2027-09-29,Ayam Crispy,12000,Wednesday,1,Cerah,46,46
2027-09-30,Paha Ayam,10000,Thursday,0,Mendung,117,50
2027-10-01,Ayam Geprek,15000,Friday,0,Cerah,95,46
2027-10-02,Dada Ayam,11000,Saturday,0,Hujan,106,56
2027-10-03,Ayam Geprek,15000,Sunday,1,Hujan,55,51
2027-10-04,Ayam Geprek,15000,Monday,0,Mendung,90,48
2027-10-05,Dada Ayam,11000,Tuesday,0,Mendung,119,49
2027-10-06,Ayam Crispy,12000,Wednesday,0,Cerah,111,62
2027-10-07,Dada Ayam,11000,Thursday,0,Cerah,51,39
2027-10-08,Ayam Crispy,12000,Friday,1,Hujan,92,55
2027-10-09,Ayam Crispy,12000,Saturday,1,Cerah,114,85
2027-10-10,Ayam Crispy,12000,Sunday,0,Cerah,44,44
2027-10-11,Dada Ayam,11000,Monday,1,Cerah,66,57
2027-10-12,Ayam Crispy,12000,Tuesday,1,Hujan,51,43
2027-10-13,Paha Ayam,10000,Wednesday,1,Cerah,56,49
2027-10-14,Dada Ayam,11000,Thursday,1,Cerah,45,45
2027-10-15,Paha Ayam,10000,Friday,0,Mendung,44,36
2027-10-16,Ayam Crispy,12000,Saturday,0,Hujan,96,56
2027-10-17,Ayam Geprek,15000,Sunday,0,Cerah,67,60
2027-10-18,Ayam Crispy,12000,Monday,1,Cerah,117,69
2027-10-19,Paha Ayam,10000,Tuesday,0,Cerah,108,47
2027-10-20,Paha Ayam,10000,Wednesday,1,Cerah,98,66
2027-10-21,Dada Ayam,11000,Thursday,1,Cerah,72,55
2027-10-22,Ayam Geprek,15000,Friday,0,Mendung,101,49
2027-10-23,Dada Ayam,11000,Saturday,1,Mendung,89,82
2027-10-24,Paha Ayam,10000,Sunday,0,Mendung,58,51
2027-10-25,Ayam Crispy,12000,Monday,0,Cerah,108,54
2027-10-26,Ayam Geprek,15000,Tuesday,1,Hujan,105,55
2027-10-27,Ayam Crispy,12000,Wednesday,0,Cerah,86,50
2027-10-28,Ayam Crispy,12000,Thursday,1,Hujan,78,51
2027-10-29,Ayam Geprek,15000,Friday,1,Mendung,107,72
2027-10-30,Dada Ayam,11000,Saturday,0,Cerah,72,53
2027-10-31,Ayam Crispy,12000,Sunday,0,Mendung,52,52
2027-11-01,Paha Ayam,10000,Monday,0,Cerah,93,57
2027-11-02,Ayam Crispy,12000,Tuesday,0,Mendung,46,35
2027-11-03,Ayam Geprek,15000,Wednesday,1,Cerah,118,67
2027-11-04,Ayam Geprek,15000,Thursday,0,Cerah,53,30
2027-11-05,Ayam Geprek,15000,Friday,0,Hujan,58,23
2027-11-06,Dada Ayam,11000,Saturday,0,Cerah,93,60
2027-11-07,Ayam Crispy,12000,Sunday,0,Hujan,59,40
2027-11-08,Dada Ayam,11000,Monday,1,Cerah,68,57
2027-11-09,Dada Ayam,11000,Tuesday,0,Mendung,63,38
2027-11-10,Ayam Geprek,15000,Wednesday,1,Mendung,102,67
2027-11-11,Ayam Geprek,15000,Thursday,0,Mendung,113,53
2027-11-12,Dada Ayam,11000,Friday,1,Cerah,96,63
2027-11-13,Ayam Crispy,12000,Saturday,0,Cerah,47,47
2027-11-14,Paha Ayam,10000,Sunday,0,Cerah,101,55
2027-11-15,Dada Ayam,11000,Monday,1,Cerah,68,54
2027-11-16,Ayam Crispy,12000,Tuesday,0,Mendung,113,56
2027-11-17,Ayam Geprek,15000,Wednesday,1,Hujan,56,44
2027-11-18,Ayam Geprek,15000,Thursday,0,Hujan,105,37
2027-11-19,Ayam Crispy,12000,Friday,0,Mendung,45,25
2027-11-20,Paha Ayam,10000,Saturday,0,Mendung,97,67
2027-11-21,Ayam Geprek,15000,Sunday,1,Mendung,108,73
2027-11-22,Ayam Geprek,15000,Monday,0,Cerah,67,45
2027-11-23,Ayam Geprek,15000,Tuesday,0,Hujan,101,41
2027-11-24,Ayam Crispy,12000,Wednesday,0,Mendung,80,51
2027-11-25,Dada Ayam,11000,Thursday,0,Mendung,108,47
2027-11-26,Ayam Geprek,15000,Friday,0,Cerah,80,41
2027-11-27,Dada Ayam,11000,Saturday,1,Cerah,88,64
2027-11-28,Paha Ayam,10000,Sunday,1,Cerah,88,72
2027-11-29,Ayam Geprek,15000,Monday,1,Hujan,115,59
2027-11-30,Ayam Geprek,15000,Tuesday,1,Mendung,110,59
2027-12-01,Paha Ayam,10000,Wednesday,0,Cerah,42,28
2027-12-02,Ayam Geprek,15000,Thursday,1,Hujan,49,27
2027-12-03,Dada Ayam,11000,Friday,0,Cerah,74,40
2027-12-04,Ayam Crispy,12000,Saturday,0,Cerah,119,77
2027-12-05,Dada Ayam,11000,Sunday,0,Cerah,41,41
2027-12-06,Ayam Crispy,12000,Monday,0,Mendung,63,45
2027-12-07,Ayam Crispy,12000,Tuesday,1,Hujan,113,63
2027-12-08,Dada Ayam,11000,Wednesday,0,Cerah,77,49
2027-12-09,Dada Ayam,11000,Thursday,0,Hujan,61,23
2027-12-10,Dada Ayam,11000,Friday,0,Cerah,65,34
2027-12-11,Dada Ayam,11000,Saturday,1,Hujan,82,65
2027-12-12,Paha Ayam,10000,Sunday,0,Mendung,94,55
2027-12-13,Ayam Geprek,15000,Monday,0,Hujan,78,35
2027-12-14,Ayam Crispy,12000,Tuesday,0,Cerah,68,37
2027-12-15,Dada Ayam,11000,Wednesday,1,Hujan,59,47
2027-12-16,Dada Ayam,11000,Thursday,0,Mendung,80,46
2027-12-17,Dada Ayam,11000,Friday,0,Cerah,93,53
2027-12-18,Paha Ayam,10000,Saturday,0,Hujan,59,37
2027-12-19,Dada Ayam,11000,Sunday,0,Cerah,58,56
2027-12-20,Dada Ayam,11000,Monday,0,Hujan,105,49
2027-12-21,Dada Ayam,11000,Tuesday,0,Cerah,69,39
2027-12-22,Ayam Geprek,15000,Wednesday,1,Mendung,92,59
2027-12-23,Paha Ayam,10000,Thursday,0,Mendung,73,37
2027-12-24,Dada Ayam,11000,Friday,0,Cerah,61,43
2027-12-25,Ayam Crispy,12000,Saturday,1,Cerah,106,96
2027-12-26,Ayam Crispy,12000,Sunday,0,Cerah,45,41
2027-12-27,Ayam Crispy,12000,Monday,0,Cerah,118,51
2027-12-28,Paha Ayam,10000,Tuesday,0,Cerah,66,43
2027-12-29,Paha Ayam,10000,Wednesday,0,Mendung,49,28
2027-12-30,Ayam Crispy,12000,Thursday,1,Cerah,112,74
2027-12-31,Dada Ayam,11000,Friday,0,Cerah,87,48
2028-01-01,Paha Ayam,10000,Saturday,1,Mendung,109,83
2028-01-02,Ayam Crispy,12000,Sunday,0,Cerah,98,67
2028-01-03,Ayam Crispy,12000,Monday,0,Hujan,98,41
2028-01-04,Dada Ayam,11000,Tuesday,0,Hujan,41,18
2028-01-05,Ayam Geprek,15000,Wednesday,0,Mendung,68,30
2028-01-06,Paha Ayam,10000,Thursday,0,Mendung,107,53
2028-01-07,Dada Ayam,11000,Friday,1,Hujan,104,64
2028-01-08,Ayam Crispy,12000,Saturday,0,Cerah,65,45
2028-01-09,Ayam Crispy,12000,Sunday,1,Cerah,49,49
2028-01-10,Dada Ayam,11000,Monday,0,Cerah,92,49
2028-01-11,Paha Ayam,10000,Tuesday,1,Mendung,118,71
2028-01-12,Ayam Geprek,15000,Wednesday,1,Cerah,98,66
2028-01-13,Ayam Geprek,15000,Thursday,1,Mendung,61,48
2028-01-14,Ayam Crispy,12000,Friday,1,Hujan,90,57
2028-01-15,Paha Ayam,10000,Saturday,1,Hujan,87,66
2028-01-16,Ayam Geprek,15000,Sunday,0,Mendung,60,54
2028-01-17,Paha Ayam,10000,Monday,0,Cerah,61,38
2028-01-18,Paha Ayam,10000,Tuesday,0,Hujan,69,30
2028-01-19,Ayam Crispy,12000,Wednesday,1,Mendung,64,56
2028-01-20,Ayam Geprek,15000,Thursday,0,Cerah,67,39
2028-01-21,Dada Ayam,11000,Friday,1,Cerah,104,60
2028-01-22,Ayam Crispy,12000,Saturday,0,Hujan,84,55
2028-01-23,Ayam Geprek,15000,Sunday,0,Mendung,107,72
2028-01-24,Ayam Geprek,15000,Monday,0,Hujan,46,11
2028-01-25,Ayam Geprek,15000,Tuesday,0,Hujan,88,33
2028-01-26,Ayam Geprek,15000,Wednesday,0,Mendung,48,37
2028-01-27,Ayam Geprek,15000,Thursday,0,Mendung,75,32
2028-01-28,Paha Ayam,10000,Friday,0,Cerah,40,34
2028-01-29,Ayam Crispy,12000,Saturday,0,Cerah,49,46
2028-01-30,Paha Ayam,10000,Sunday,0,Cerah,75,63
2028-01-31,Dada Ayam,11000,Monday,0,Mendung,112,54
2028-02-01,Ayam Geprek,15000,Tuesday,1,Mendung,85,56
2028-02-02,Ayam Crispy,12000,Wednesday,0,Hujan,71,31
2028-02-03,Ayam Geprek,15000,Thursday,0,Cerah,71,40
2028-02-04,Ayam Crispy,12000,Friday,0,Mendung,45,27
2028-02-05,Paha Ayam,10000,Saturday,0,Mendung,87,72
2028-02-06,Ayam Crispy,12000,Sunday,0,Mendung,77,52
2028-02-07,Dada Ayam,11000,Monday,0,Mendung,56,23
2028-02-08,Dada Ayam,11000,Tuesday,0,Cerah,113,62
2028-02-09,Ayam Crispy,12000,Wednesday,0,Mendung,66,35
2028-02-10,Ayam Crispy,12000,Thursday,0,Cerah,93,46
2028-02-11,Ayam Crispy,12000,Friday,1,Cerah,89,59
2028-02-12,Ayam Crispy,12000,Saturday,1,Cerah,74,68
2028-02-13,Dada Ayam,11000,Sunday,0,Mendung,64,49
2028-02-14,Ayam Geprek,15000,Monday,0,Hujan,67,23
2028-02-15,Ayam Crispy,12000,Tuesday,0,Mendung,54,34
2028-02-16,Ayam Crispy,12000,Wednesday,0,Mendung,43,28
2028-02-17,Dada Ayam,11000,Thursday,1,Mendung,112,73
2028-02-18,Dada Ayam,11000,Friday,0,Mendung,66,41
2028-02-19,Paha Ayam,10000,Saturday,0,Cerah,65,48
2028-02-20,Ayam Crispy,12000,Sunday,0,Cerah,58,51
2028-02-21,Paha Ayam,10000,Monday,1,Cerah,56,48
2028-02-22,Dada Ayam,11000,Tuesday,0,Cerah,82,39
2028-02-23,Dada Ayam,11000,Wednesday,0,Cerah,80,46
2028-02-24,Ayam Geprek,15000,Thursday,0,Cerah,81,43
2028-02-25,Ayam Crispy,12000,Friday,0,Cerah,89,44
2028-02-26,Paha Ayam,10000,Saturday,0,Hujan,79,43
2028-02-27,Dada Ayam,11000,Sunday,0,Cerah,78,52
2028-02-28,Dada Ayam,11000,Monday,0,Cerah,62,47
2028-02-29,Paha Ayam,10000,Tuesday,0,Cerah,91,49
2028-03-01,Ayam Geprek,15000,Wednesday,0,Mendung,86,40
2028-03-02,Dada Ayam,11000,Thursday,0,Cerah,102,52
2028-03-03,Ayam Crispy,12000,Friday,0,Cerah,108,58
2028-03-04,Dada Ayam,11000,Saturday,0,Mendung,82,60
2028-03-05,Ayam Crispy,12000,Sunday,1,Cerah,87,82
2028-03-06,Paha Ayam,10000,Monday,0,Cerah,73,33
2028-03-07,Ayam Crispy,12000,Tuesday,0,Cerah,79,33
2028-03-08,Paha Ayam,10000,Wednesday,0,Cerah,114,56
2028-03-09,Ayam Crispy,12000,Thursday,0,Cerah,100,51
2028-03-10,Paha Ayam,10000,Friday,1,Cerah,89,44
2028-03-11,Ayam Crispy,12000,Saturday,0,Hujan,106,54
2028-03-12,Ayam Geprek,15000,Sunday,1,Mendung,101,75
2028-03-13,Ayam Crispy,12000,Monday,0,Mendung,97,42
2028-03-14,Ayam Crispy,12000,Tuesday,0,Cerah,72,35
2028-03-15,Ayam Geprek,15000,Wednesday,1,Hujan,114,63
2028-03-16,Dada Ayam,11000,Thursday,1,Cerah,55,44
2028-03-17,Dada Ayam,11000,Friday,1,Cerah,87,56
2028-03-18,Ayam Crispy,12000,Saturday,1,Mendung,49,49
